X,Y
588.266785,-40.411583
588.247498,-40.369915
588.266235,-40.361591
588.261963,-40.397373
588.251892,-40.414883
588.262268,-40.374332
588.257568,-40.41264
588.257019,-40.410984
588.251343,-40.414772
588.263,-40.393593
588.263245,-40.388523
588.196045,-40.42313
588.262146,-40.402351
588.21167,-40.263184
588.21991,-40.362411
588.195618,-40.437035
588.257568,-40.391228
588.239502,-40.295452
588.252563,-40.374393
588.146301,-40.302204
588.25885,-40.398361
588.247803,-40.382645
588.253906,-40.364952
588.264771,-40.395252
588.194946,-40.444225
588.258118,-40.379246
588.25769,-40.40892
588.273499,-40.369415
588.267517,-40.381256
588.202393,-40.396168
588.26355,-40.401428
588.269897,-40.383808
588.244629,-40.296658
588.258118,-40.381779
588.259399,-40.395214
588.255737,-40.398228
588.202026,-40.422226
588.257141,-40.379681
588.262451,-40.345436
588.261719,-40.335583
588.262695,-40.360447
588.250122,-40.332661
588.26062,-40.389366
588.223938,-40.296242
588.185242,-40.418205
588.259033,-40.365601
588.254028,-40.388294
588.25061,-40.3685
588.25592,-40.408428
588.257935,-40.367897
588.198181,-40.399506
588.259766,-40.363991
588.250488,-40.39061
588.252319,-40.327335
588.260742,-40.373318
588.196228,-40.424641
588.268677,-40.33596
588.258911,-40.375431
588.20282,-40.42672
588.267822,-40.396027
588.271362,-40.339851
588.248718,-40.393776
588.249939,-40.397682
588.266907,-40.390999
588.266174,-40.398129
588.247864,-40.398754
588.255188,-40.400894
588.25531,-40.40263
588.253052,-40.383289
588.241394,-40.389114
588.195313,-40.436157
588.251099,-40.415352
588.252441,-40.36293
588.252136,-40.409008
588.251221,-40.306656
588.253662,-40.414742
588.264709,-40.344296
588.251221,-40.417526
588.258728,-40.349171
588.25177,-40.40184
588.255676,-40.397003
588.25647,-40.390163
588.264038,-40.38464
588.268494,-40.368912
588.263184,-40.40493
588.263306,-40.412964
588.247803,-40.378479
588.25,-40.403763
588.252808,-40.36758
588.250793,-40.395992
588.260742,-40.408215
588.279968,-40.341316
588.257751,-40.313339
588.257568,-40.380234
588.240295,-40.309219
588.260864,-40.379539
588.259949,-40.406212
588.260132,-40.39888
588.256775,-40.403599
588.25824,-40.3983
588.255737,-40.406834
588.254822,-40.400276
588.255554,-40.413437
588.234741,-40.351219
588.257263,-40.400959
588.253479,-40.371967
588.263306,-40.331291
588.260254,-40.403378
588.259888,-40.401608
588.261963,-40.377029
588.250366,-40.412384
588.259888,-40.388203
588.250671,-40.336746
588.251709,-40.356518
588.192261,-40.274696
588.259277,-40.398354
588.271729,-40.36623
588.258423,-40.386234
588.262085,-40.360287
588.204773,-40.373695
588.258606,-40.374966
588.254761,-40.354664
588.260254,-40.387089
588.256714,-40.374935
588.258362,-40.36018
588.207825,-40.279697
588.24469,-40.344933
588.264404,-40.388542
588.255005,-40.379318
588.252319,-40.393536
588.245789,-40.404953
588.196838,-40.42535
588.259583,-40.390572
588.259766,-40.388519
588.195129,-40.411289
588.242249,-40.358471
588.24707,-40.403839
588.245911,-40.407509
588.263367,-40.383183
588.260986,-40.363777
588.197083,-40.246597
588.263184,-40.358917
588.255127,-40.388737
588.211853,-40.242569
588.25116,-40.36787
588.270813,-40.340012
588.257813,-40.38752
588.266724,-40.399227
588.257385,-40.395668
588.25415,-40.397823
588.253479,-40.407402
588.26123,-40.375805
588.247742,-40.39587
588.251892,-40.357224
588.258972,-40.412632
588.257385,-40.386791
588.192322,-40.441494
588.248291,-40.379086
588.250977,-40.392372
588.247131,-40.400269
588.178467,-40.328575
588.25531,-40.375874
588.256775,-40.388004
588.26062,-40.391907
588.272278,-40.391323
588.263428,-40.39082
588.261414,-40.40041
588.259521,-40.383457
588.252563,-40.294998
588.267517,-40.341648
588.254761,-40.367409
588.265015,-40.408707
588.270874,-40.338367
588.224731,-40.281666
588.222961,-40.291573
588.257507,-40.40731
588.253357,-40.380352
588.249146,-40.411606
588.25415,-40.392624
588.260498,-40.402332
588.263794,-40.394234
588.207581,-40.441475
588.256409,-40.391956
588.232666,-40.287254
588.25061,-40.413227
588.255554,-40.401012
588.270203,-40.393597
588.253418,-40.40834
588.272034,-40.396622
588.255615,-40.328423
588.255188,-40.356873
588.258667,-40.41312
588.255981,-40.392956
588.253052,-40.405861
588.25238,-40.399307
588.246338,-40.401638
588.252014,-40.413326
588.261841,-40.388161
588.264771,-40.390594
588.258118,-40.364819
588.257019,-40.407143
588.254028,-40.34317
588.259705,-40.383713
588.252441,-40.386005
588.253296,-40.413486
588.255127,-40.396305
588.253662,-40.378799
588.233398,-40.303783
588.258972,-40.343048
588.257813,-40.397926
588.266724,-40.394119
588.249573,-40.36454
588.199463,-40.434635
588.25824,-40.405621
588.255432,-40.403641
588.234436,-40.255283
588.261536,-40.37846
588.017639,-40.517212
588.088135,-40.595428
588.077942,-40.62598
588.080322,-40.618153
588.090454,-40.595524
588.015808,-40.617809
588.078857,-40.603386
588.087585,-40.61829
588.07666,-40.62402
587.986084,-40.482906
588.047485,-40.513809
588.084412,-40.618759
588.085938,-40.633705
588.0802,-40.590767
588.082947,-40.604397
588.079834,-40.611027
588.079773,-40.604919
588.011414,-40.644295
588.092407,-40.623695
588.083679,-40.606895
588.084106,-40.604836
588.070435,-40.539749
588.072021,-40.617218
588.085876,-40.619232
588.093323,-40.594608
588.078857,-40.62743
588.008728,-40.654819
588.085938,-40.522198
588.081299,-40.616802
588.092529,-40.58744
588.079712,-40.559429
588.008118,-40.616947
588.084961,-40.631744
588.019409,-40.61282
588.084534,-40.621723
588.015747,-40.646881
588.087708,-40.590984
588.092346,-40.606846
588.088989,-40.611279
588.021057,-40.632294
588.083008,-40.615871
588.092163,-40.616615
588.084595,-40.626888
588.090271,-40.604416
588.211731,-40.257561
588.261719,-40.394592
588.260803,-40.37801
588.254517,-40.402576
588.265137,-40.39436
588.267456,-40.39777
588.256226,-40.405537
588.26062,-40.402699
588.266296,-40.37598
588.254456,-40.394691
588.265564,-40.395008
588.266174,-40.387215
588.263123,-40.3797
588.258667,-40.404453
588.254822,-40.401207
588.257263,-40.402481
588.196594,-40.440544
588.201721,-40.440754
588.246704,-40.369354
588.260925,-40.368263
588.189392,-40.337749
588.263794,-40.405823
588.258423,-40.392914
588.198303,-40.411083
588.187622,-40.331131
588.260437,-40.366619
588.257263,-40.381889
588.258606,-40.387104
588.238831,-40.368378
588.264221,-40.362782
588.263855,-40.382408
588.25885,-40.405636
588.267456,-40.385242
588.261658,-40.392029
588.255066,-40.406975
588.259338,-40.380039
588.258911,-40.375252
588.263428,-40.361515
588.25769,-40.413605
588.255676,-40.410259
588.25885,-40.384274
588.250793,-40.392796
588.260803,-40.395813
588.263306,-40.388241
588.269531,-40.370476
588.258423,-40.414467
588.254028,-40.364731
588.267639,-40.414211
588.263855,-40.406857
588.258362,-40.358856
588.249634,-40.4118
588.253296,-40.402321
588.256104,-40.409416
588.25824,-40.387592
588.192383,-40.370697
588.26239,-40.385761
588.250244,-40.39027
588.261597,-40.299942
588.259216,-40.4114
588.245544,-40.34251
588.264954,-40.388676
588.272339,-40.351692
588.255432,-40.413109
588.257324,-40.409492
588.200806,-40.427959
588.249084,-40.337929
588.204834,-40.434486
588.258911,-40.39072
588.190186,-40.430153
588.197388,-40.439049
588.261353,-40.404697
588.252808,-40.402332
588.198303,-40.275928
588.256592,-40.410931
588.258179,-40.388893
588.223022,-40.279564
588.196472,-40.387936
588.26947,-40.370407
588.263489,-40.372452
588.260681,-40.40744
588.262146,-40.371464
588.255066,-40.333622
588.237793,-40.337006
588.255554,-40.413277
588.256775,-40.398895
588.246277,-40.304199
588.261047,-40.390572
588.197937,-40.417709
588.229065,-40.263168
588.260559,-40.41357
588.258423,-40.389191
588.258362,-40.399773
588.194275,-40.284233
588.257141,-40.406033
588.266907,-40.397991
588.258789,-40.403015
588.257263,-40.395008
588.251892,-40.345154
588.202759,-40.435001
588.252625,-40.364616
588.263062,-40.39867
588.256226,-40.410046
588.15686,-40.298401
588.263489,-40.300671
588.202271,-40.405373
588.246277,-40.307606
588.23761,-40.263393
588.262207,-40.387379
588.196045,-40.42448
588.251465,-40.415844
588.231873,-40.378666
588.262756,-40.381504
588.245117,-40.308239
588.263489,-40.366329
588.258972,-40.385468
588.264038,-40.403015
588.261108,-40.386158
588.148376,-40.300049
588.250549,-40.418583
588.269958,-40.386036
588.218933,-40.299259
588.267273,-40.3801
588.262878,-40.389912
588.268555,-40.399902
588.260376,-40.405289
588.260986,-40.392334
588.259949,-40.404049
588.190552,-40.416042
588.243225,-40.403111
588.257996,-40.364811
588.258789,-40.40522
588.258606,-40.362991
588.204712,-40.430973
588.19751,-40.451649
588.200378,-40.431702
588.205139,-40.377522
588.262878,-40.403877
588.259399,-40.394932
588.261902,-40.404156
588.263977,-40.402039
588.263916,-40.405869
588.200867,-40.420769
588.266174,-40.398842
588.256592,-40.385853
588.263428,-40.406933
588.255188,-40.420891
588.265076,-40.401756
588.274475,-40.378399
588.260742,-40.410751
588.198364,-40.441444
588.262634,-40.403255
588.266174,-40.397655
588.269592,-40.372036
588.258179,-40.403786
588.200623,-40.443893
588.26593,-40.399162
588.272339,-40.341412
588.273865,-40.3489
588.199402,-40.447796
588.161499,-40.324257
588.258362,-40.378067
588.256714,-40.339176
588.264343,-40.406029
588.227783,-40.300919
588.245911,-40.380886
588.261719,-40.411148
588.263184,-40.412415
588.269165,-40.383244
588.254761,-40.404381
588.256104,-40.4142
588.254456,-40.373814
588.260498,-40.410782
588.252991,-40.409035
588.208557,-40.435123
588.258179,-40.390213
588.258972,-40.404846
588.271851,-40.380413
588.258057,-40.405479
588.259644,-40.404621
588.260742,-40.384052
588.260559,-40.397869
588.25238,-40.421425
588.199036,-40.451191
588.255676,-40.390636
588.259766,-40.420517
588.253174,-40.418949
588.264404,-40.383488
588.199219,-40.438629
588.253662,-40.38628
588.252747,-40.381233
588.199768,-40.440632
588.248718,-40.332825
588.264893,-40.376488
588.264282,-40.386925
588.265747,-40.401154
588.261108,-40.410526
588.281006,-40.375977
588.258789,-40.406654
588.258423,-40.390079
588.263611,-40.347866
588.256531,-40.405846
588.255859,-40.404892
588.201355,-40.440327
588.252258,-40.388008
588.265991,-40.382641
588.255981,-40.384533
588.257813,-40.405449
588.266846,-40.412331
588.255005,-40.307037
588.264221,-40.400936
588.262817,-40.418255
588.256165,-40.406715
588.253967,-40.400749
588.269104,-40.392998
588.206665,-40.416771
588.259155,-40.392166
588.248901,-40.399715
588.193115,-40.404102
588.260254,-40.400852
588.216736,-40.274361
588.273804,-40.349064
588.278687,-40.373238
588.273254,-40.366055
588.255859,-40.409939
588.265991,-40.3927
588.265564,-40.379761
588.255371,-40.41489
588.263184,-40.364651
588.263184,-40.394077
588.202637,-40.42424
588.25,-40.297043
588.199707,-40.380154
588.249695,-40.367252
588.201599,-40.452667
588.264526,-40.396206
588.257385,-40.424843
588.254272,-40.411549
588.249451,-40.384075
588.265137,-40.40136
588.262329,-40.401585
588.263611,-40.401764
588.263062,-40.376431
588.263306,-40.395771
588.262756,-40.393005
588.260925,-40.41106
588.248657,-40.344387
588.262695,-40.377869
588.270203,-40.378555
588.257263,-40.376518
588.260803,-40.405956
588.261475,-40.387318
588.259766,-40.402809
588.263184,-40.404175
588.253357,-40.405457
588.199341,-40.437122
588.266907,-40.291061
588.258423,-40.382465
588.264771,-40.385643
588.201599,-40.431332
588.207275,-40.404865
588.266052,-40.390682
588.261292,-40.387203
588.263977,-40.339527
588.255554,-40.328625
588.270935,-40.368187
588.249451,-40.36293
588.263794,-40.300259
588.265686,-40.395996
588.260742,-40.392536
588.283203,-40.338062
588.266663,-40.371132
588.262878,-40.38512
588.252991,-40.398579
588.259766,-40.341721
588.254639,-40.4132
588.257874,-40.416546
588.255798,-40.399548
588.250793,-40.407993
588.260254,-40.348766
588.262756,-40.370228
588.261841,-40.392925
588.259399,-40.409203
588.255554,-40.41259
588.260071,-40.408497
588.269409,-40.349182
588.260193,-40.41127
588.265259,-40.378429
588.268311,-40.369736
588.259521,-40.415302
588.263062,-40.395882
588.255554,-40.416058
588.193787,-40.44355
588.258118,-40.391808
588.268311,-40.387375
588.257507,-40.371593
588.260376,-40.391537
588.258789,-40.39677
